date,AQI
1396/08/12,151
1396/08/13,130
1396/08/14,113
1396/08/15,117
1396/08/16,126
1396/08/17,115
1396/08/18,110
1396/08/19,92
1396/08/20,80
1396/08/21,97
1396/08/22,85
1396/08/23,99
1396/08/24,111
1396/08/25,113
1396/08/26,105
1396/08/27,101
1396/08/28,104
1396/08/29,112
1396/08/30,123
1396/09/01,78
1396/09/02,84
1396/09/03,49
1396/09/04,37
1396/09/05,60
1396/09/06,81
1396/09/07,104
1396/09/08,97
1396/09/09,120
1396/09/10,111
1396/09/11,90
1396/09/12,101
1396/09/13,118
1396/09/14,141
1396/09/15,144
1396/09/16,123
1396/09/17,77
1396/09/18,67
1396/09/19,114
1396/09/20,122
1396/09/21,101
1396/09/22,95
1396/09/23,112
1396/09/24,113
1396/09/25,112
1396/09/26,145
1396/09/27,146
1396/09/28,151
1396/09/29,158
1396/09/30,172
1396/10/01,115
1396/10/02,99
1396/10/03,105
1396/10/04,115
1396/10/05,72
1396/10/06,93
1396/10/07,87
1396/10/08,105
1396/10/09,115
1396/10/10,141
1396/10/11,152
1396/10/12,128
1396/10/13,65
1396/10/14,79
1396/10/15,129
1396/10/16,119
1396/10/17,107
1396/10/18,86
1396/10/19,107
1396/10/20,109
1396/10/21,131
1396/10/22,131
1396/10/23,132
1396/10/24,73
1396/10/25,101
1396/10/26,68
1396/10/27,90
1396/10/28,104
1396/10/29,100
1396/10/30,90
1396/11/01,83
1396/11/02,110
1396/11/03,138
1396/11/04,113
1396/11/05,104
1396/11/06,103
1396/11/07,81
1396/11/08,56
1396/11/09,52
1396/11/10,114
1396/11/11,136
1396/11/12,145
1396/11/13,139
1396/11/14,122
1396/11/15,144
1396/11/16,158
1396/11/17,177
1396/11/18,175
1396/11/19,115
1396/11/20,108
1396/11/21,114
1396/11/22,109
1396/11/23,112
1396/11/24,115
1396/11/25,87
1396/11/26,46
1396/11/27,104
1396/11/28,69
1396/11/29,114
1396/11/30,80
1396/12/01,73
1396/12/02,80
1396/12/03,102
1396/12/04,79
1396/12/05,65
1396/12/06,39
1396/12/07,65
1396/12/08,58
1396/12/09,90
1396/12/10,82
1396/12/11,66
1396/12/12,63
1396/12/13,67
1396/12/14,82
1396/12/15,90
1396/12/16,72
1396/12/17,111
1396/12/18,96
1396/12/19,88
1396/12/20,86
1396/12/21,114
1396/12/22,59
1396/12/23,143
1396/12/24,97
1396/12/25,87
1396/12/26,62
1396/12/27,62
1396/12/28,73
1396/12/29,98
1397/01/01,83
1397/01/02,73
1397/01/03,45
1397/01/04,103
1397/01/05,131
1397/01/06,92
1397/01/07,85
1397/01/08,87
1397/01/09,115
1397/01/10,104
1397/01/11,109
1397/01/12,56
1397/01/13,83
1397/01/14,85
1397/01/15,53
1397/01/16,49
1397/01/17,71
1397/01/18,67
1397/01/19,74
1397/01/20,79
1397/01/21,71
1397/01/22,44
1397/01/23,67
1397/01/24,78
1397/01/25,61
1397/01/26,51
1397/01/27,59
1397/01/28,61
1397/01/29,107
1397/01/30,91
1397/01/31,97
1397/02/01,75
1397/02/02,106
1397/02/03,94
1397/02/04,73
1397/02/05,73
1397/02/06,56
1397/02/07,64
1397/02/08,69
1397/02/09,111
1397/02/10,72
1397/02/11,75
1397/02/12,83
1397/02/13,71
1397/02/14,66
1397/02/15,58
1397/02/16,74
1397/02/17,81
1397/02/18,108
1397/02/19,83
1397/02/20,48
1397/02/21,51
1397/02/22,50
1397/02/23,94
1397/02/24,82
1397/02/25,65
1397/02/26,54
1397/02/27,47
1397/02/28,54
1397/02/29,81
1397/02/30,67
1397/02/31,91
1397/03/01,76
1397/03/02,62
1397/03/03,49
1397/03/04,61
1397/03/05,87
1397/03/06,118
1397/03/07,75
1397/03/08,86
1397/03/09,115
1397/03/10,73
1397/03/11,78
1397/03/12,79
1397/03/13,66
1397/03/14,50
1397/03/15,105
1397/03/16,58
1397/03/17,67
1397/03/18,61
1397/03/19,122
1397/03/20,73
1397/03/21,83
1397/03/22,85
1397/03/23,62
1397/03/24,64
1397/03/25,80
1397/03/26,117
1397/03/27,88
1397/03/28,83
